unit_name,asa,background,eyes,pose,skin,hair,shirt,jacket,single outfit,necklace,mask,foam finger,hat,glasses,rarity_score,rank,name
Tour2006,741563076,aqua nebulae,light blue,wave,blue base,none,candy corn,desert zip puffer,none,none,none,none,at hat desert camo,none,8299.397254956057,1,Alien Tourism2006
Tour623,741260467,yellow,gold,wave,gold,none,none,none,gold robe,none,none,none,imperial crown,none,4875.665073773052,2,Alien Tourism623
Tour2352,741622560,aqua nebulae,blue glow,wave,cow,none,none,blue white at bomber jacket,none,large gold chain,none,none,none,none,4334.868857049194,3,Alien Tourism2352
Tour1974,741533879,aurora,gold,wave,yellow metallic,none,blue strapless,none,none,none,none,none,outback hat,none,4309.6142019144,4,Alien Tourism1974
Tour1,741078228,yellow,black,wave,original,none,none,none,none,none,none,none,none,none,4069.3533383052136,5,Alien Tourism1
Tour1644,741454668,black hole,black,wave,painters palette,none,blue strapless,nebula jacket,none,at snake chain,none,purple probe,gold tando,rainbow pit glasses,3212.539375763156,6,Alien Tourism1644
Tour983,741325057,yellow,gold cat,wave,cow,none,none,nebula jacket,none,none,none,none,none,none,2272.384317170748,7,Alien Tourism983
Tour2657,741677760,green,orange spiral,rock on,blue galaxy,none,black longsleeve top,illuminated leather,none,none,none,none,none,none,2005.9158788229365,8,Alien Tourism2657
Tour3318,741779186,black hole,pink,rock on,red galaxy,none,none,none,pink snow,none,none,none,camo tando,none,1836.773806877671,9,Alien Tourism3318
Tour2106,741588001,green,pink,rock on,blue galaxy,none,none,none,yellow bball,none,none,none,jungle safari hat,none,1776.3365708756664,10,Alien Tourism2106
Tour3463,741798264,blood orange,gold cat,wave,green base,none,none,none,white robe,none,green bandana,gold 1,none,none,1719.5228054776649,11,Alien Tourism3463
Tour3951,741865007,orange,purple glow,rock on,red galaxy,none,none,none,silver snow,none,none,none,aqua bandana,none,1705.0958902089205,12,Alien Tourism3951
Tour2969,741724460,light gray,blue glow,rock on,blue galaxy,none,fuschia longsleeve top,none,none,none,none,none,none,green monocle,1701.285689089087,13,Alien Tourism2969
Tour257,741186066,purple,silver green spiral,rock on,red galaxy,none,red polo,orange life vest,none,none,none,none,none,none,1641.3178140390382,14,Alien Tourism257
Tour453,741224118,blood orange,none,cash money,blue green gloss,mop,gold dress,miami vice,none,none,none,none,none,gold visor,1629.9615441608016,15,Alien Tourism453
Tour377,741210231,celestial,white,wave,turquoise metallic,none,none,none,viking,none,none,none,none,orange monocle,1605.4140854748491,16,Alien Tourism377
Tour551,741242179,royal blue,yellow glow,wave,rainbow purple,none,gold dress,illuminated leather,none,none,none,none,gold horns,none,1574.7365142033625,17,Alien Tourism551
Tour338,741202735,purple,silver green spiral,wave,painters palette,none,none,none,viking,none,none,none,none,none,1572.9633180330281,18,Alien Tourism338
Tour3898,741856892,royal blue,light blue spiral,wave,red metallic,none,none,none,viking,none,none,none,none,none,1464.450647870744,19,Alien Tourism3898
Tour1004,741329882,green,pink,wave,wigwag,none,metallic leather,fire bomber,none,algo snake chain,green bandana,none,none,none,1362.1434617737125,20,Alien Tourism1004
Tour1400,741429790,alaskan aurora,lime spiral,wave,purple teal pearlescent,curly,gold leather suit,none,none,none,none,none,none,pink monocle,1358.6685394187443,21,Alien Tourism1400
Tour320,741198877,lavendar,none,wave,heat map,none,none,none,flower hawaiian,algo medallion chain,none,gold 1,none,blue red pit glasses,1338.8374739669105,22,Alien Tourism320
Tour3066,741736178,candy red,none,wave,seafoam,twists,pink camo polo,blue safety vest,none,none,none,none,none,blue gold cyclops,1330.9516858171896,23,Alien Tourism3066
Tour2408,741632856,turquoise,none,wave,seafoam,twists,blue strapless,gold bomber,none,none,none,purple at,none,pink sunglasses,1319.484589784116,24,Alien Tourism2408
Tour446,741222580,candy red,purple iris,ice cream,pink metallic,bun,none,none,pink hoodie,at medallion chain,none,none,none,none,1312.6421826674957,25,Alien Tourism446
Tour2903,741714857,galaxy,none,wave,purple metallic,none,backdraft half top,none,none,algo snake chain,none,turquoise tourist,jungle safari hat,purple cyclopsoo,1301.8988195055292,26,Alien Tourism2903
Tour3646,741823915,yellow,gold brick spiral,wave,onyx,none,seafoam shirt,midnight blue,none,none,surgical mask,gold 1,none,none,1300.0492755478933,27,Alien Tourism3646
Tour491,741231123,orange,light blue,wave,seafoam,twists,gold leather suit,none,none,none,none,none,none,none,1290.8358863404678,28,Alien Tourism491
Tour3073,741737096,light gray,none,wave,onyx,none,none,gold bomber,none,algo medallion chain,none,red probe,grey back hat,purple cyclopsoo,1283.030823029161,29,Alien Tourism3073
Tour3901,741857287,red spiral,light blue spiral,wave,blue base,none,none,none,liquid mint suit,none,none,none,none,blue monocle,1277.7115182612329,30,Alien Tourism3901
Tour2852,741706736,aurora,gold brick spiral,wave,yellow aqueous,mohawk,none,none,yellow jogger,none,none,gold 1,none,green monocle,1250.4746383356296,31,Alien Tourism2852
Tour3936,741863441,purple,none,ice cream,blue aqueous,pigtail,none,none,white robe,none,none,none,none,rainbow pit glasses,1241.8480277237973,32,Alien Tourism3936
Tour3256,741771450,emerald,pink,cash money,purple blue gloss,pigtail,blue hex shirt,lightning,none,algo snake chain,none,none,none,none,1231.8610938827842,33,Alien Tourism3256
Tour3040,741733338,purple,none,rock on,quicksilver,pullback,none,none,pink snow,algo medallion chain,none,none,none,green gold cyclops,1223.1827291172071,34,Alien Tourism3040
Tour1687,741459039,lavendar,none,wave,original base,none,red strapless,none,none,at medallion chain,none,gold 1,camo tando,gold visor,1219.215007191183,35,Alien Tourism1687
Tour3106,741742887,blue spiral,none,rock on,arctic plum,afro,gold dress,camo,none,algo medallion chain,none,none,none,green lens sunglasses,1198.1982782380214,36,Alien Tourism3106
Tour2133,741592190,aqua nebulae,none,wave,painters palette,none,none,none,carolina blue jogger,algo medallion chain,none,red tourist,gold sun hat,blue pit glasses,1183.6295764721056,37,Alien Tourism2133
Tour1195,741410373,lavendar,red silver spiral,wave,yellow gloss,none,none,none,liquid mint suit,none,none,none,red camo back hat,none,1181.7042073752111,38,Alien Tourism1195
Tour1161,741404095,seagreen,green cat,ice cream,confetti skin,none,none,gold bomber,none,none,none,none,black horns,none,1181.5209229779807,39,Alien Tourism1161
Tour3750,741837234,lime,none,wave,yellow gloss,none,backdraft half top,none,none,none,none,blue at,none,yellow black cyclops,1181.1714998470018,40,Alien Tourism3750
Tour1956,741516078,purple,silver blue spiral,wave,green gloss,none,metallic oil shirt,midnight blue,none,none,none,none,purple horns,none,1175.29402617024,41,Alien Tourism1956
Tour362,741207441,purple,blue glow,wave,yellow red pearlescent,curly,none,none,pink hoodie,none,none,none,none,none,1174.1510580835159,42,Alien Tourism362
Tour2805,741698372,turquoise,none,wave,blue green pearl,none,rainbow leather suit,gold bomber,none,none,none,none,yellow bandana,green gold cyclops,1155.889533533879,43,Alien Tourism2805
Tour401,741213976,coconut,pink,wave,green base,none,metallic leather,camo bomber,none,at medallion chain,none,none,camo bandana,none,1154.5580134312856,44,Alien Tourism401
Tour2963,741723663,candy red,black,wave,blue aqueous,none,none,none,liquid mint suit,none,none,none,yellow bandana,none,1145.7482407467246,45,Alien Tourism2963
Tour233,741180475,acid blur,none,donut,blue base,fuzz,none,none,pink hoodie,none,none,none,none,green lens sunglasses,1143.6186658843408,46,Alien Tourism233
Tour1777,741467356,coconut,none,donut,gold,cruella,metallic leather,blue bomber,none,none,none,none,none,green lens sunglasses,1142.594077979776,47,Alien Tourism1777
Tour566,741245171,galaxy,none,wave,purple base,none,metallic leather,camo bomber,none,at snake chain,none,purple at,black at hat,white sunglasses,1142.4113022391164,48,Alien Tourism566
Tour3765,741838811,lavendar,light blue,stun gun,camo,pullback,blue metallic shirt,none,none,none,none,none,none,none,1141.9783293022751,49,Alien Tourism3765
Tour252,741185094,seagreen,none,rock on,arctic plum,afro,gold pattern shirt,orange life vest,none,none,none,none,none,green lens sunglasses,1141.9092435430562,50,Alien Tourism252
Tour1276,741418538,candy red,green glow,rock on,quicksilver,pullback,black dress,lightning,none,none,none,none,none,none,1141.3307933295025,51,Alien Tourism1276
Tour2286,741612545,galaxy,gold spiral,wave,purple galaxy,none,chainmail shirt,gold puffer vest,none,large gold chain,purple bandana,purple probe,none,none,1136.7597613326761,52,Alien Tourism2286
Tour179,741165799,blood orange,silver blue spiral,wave,red aqueous,none,metallic oil shirt,camo,none,none,none,none,camo safari hat,none,1136.3616149763675,53,Alien Tourism179
Tour3907,741858154,light gray,none,wave,hornet,afro,rainbow shirt,camo zip puffer,none,none,none,none,none,green gold cyclops,1135.3017463913168,54,Alien Tourism3907
Tour3728,741834633,candy red,stoned human,camera,poisonous toad,none,orange metallic shirt,red bomber,none,none,none,none,camo bandana,none,1134.2739927796708,55,Alien Tourism3728
Tour3433,741795095,red,red silver spiral,wave,orange glow,none,blue hex shirt,fire bomber,none,none,none,none,colorful sun hat,none,1132.931029287972,56,Alien Tourism3433
Tour2303,741615128,charcoal,silver spiral,camera,blue red pearlescent,corn rows,purple strapless,illuminated leather,none,none,none,none,none,none,1132.277461693025,57,Alien Tourism2303
Tour3474,741799260,alaskan aurora,blue cat,wave,wild berry,mullet,orange metallic shirt,red leather,none,algo snake chain,none,turquoise tourist,none,none,1125.181410239008,58,Alien Tourism3474
Tour3152,741753128,aurora,red glow,wave,original base,none,red polo,camo bomber,none,none,none,none,gold safari hat,none,1119.7101115323328,59,Alien Tourism3152
Tour1781,741467858,red,orange glow,wave,purple base,none,purple dress,nebula,none,none,none,none,gold safari hat,none,1111.6457172632363,60,Alien Tourism1781
Tour461,741225715,alaskan aurora,none,ice cream,pink metallic,bun,none,miami vice,none,none,none,none,none,green lens sunglasses,1105.4407536825643,61,Alien Tourism461
Tour3501,741801893,green spiral,none,wave,purple aqueous,none,blue tech shirt,none,none,none,none,purple 1,none,purple cyclopsoo,1104.242965465956,62,Alien Tourism3501
Tour3417,741793192,orange,orange spiral,wave,blue raspberry,afro,blue tech shirt,none,none,none,none,red at,none,none,1100.0467387233107,63,Alien Tourism3417
Tour235,741181028,green spiral,green spiral,wave,rainbow green,none,none,none,gold suit,none,none,none,blue tando,none,1098.3868424654854,64,Alien Tourism235
Tour727,741280527,lavendar,orange spiral,donut,blue base,fuzz,blue metallic shirt,none,none,none,none,none,none,none,1093.0355175907143,65,Alien Tourism727
Tour3657,741825405,acid blur,none,wave,blue raspberry,afro,pink camo polo,camo,none,at medallion chain,none,none,none,yellow black cyclops,1091.74389847691,66,Alien Tourism3657
Tour3070,741736653,dark gray,orange,wave,purple base,none,none,none,liquid mint suit,none,none,none,none,none,1090.410034691808,67,Alien Tourism3070
Tour3187,741759368,black hole,none,camera,green yellow pearlescent,slickback,none,none,flower hawaiian,none,none,none,none,blue gold cyclops,1086.810820435522,68,Alien Tourism3187
Tour1856,741478027,orange,none,ice cream,pink metallic,bun,none,midnight blue,none,none,none,none,none,green gold cyclops,1084.191393723527,69,Alien Tourism1856
Tour627,741261596,emerald,purple silver spiral,donut,metallic blue,mop,metallic strapless,none,none,none,none,none,none,blue monocle,1070.8799889618222,70,Alien Tourism627
Tour3422,741793687,emerald,black,wave,black blue pearlescent,space bun,backdraft half top,red puffer vest,none,algo medallion chain,none,none,none,none,1070.8721798610177,71,Alien Tourism3422
Tour1929,741485485,black hole,green iris,wave,heat map,none,purple leather suit,red pearl puffer,none,none,purple bandana,red at,none,none,1067.0245225231406,72,Alien Tourism1929
Tour1610,741451301,red,blue glow,ice cream,pink metallic,bun,none,none,shield maiden,none,none,none,none,none,1063.0862251882263,73,Alien Tourism1610
Tour3134,741750399,green,gold,wave,purple teal pearlescent,curly,none,none,camo robe,none,none,none,none,none,1060.1847995422643,74,Alien Tourism3134
Tour2339,741620799,pink blend,none,wave,turquoise metallic,none,gold leather suit,none,none,none,none,none,red bandana,blue red pit glasses,1048.8494292888392,75,Alien Tourism2339
Tour2905,741715219,red,none,wave,yellow gloss,none,gold leather suit,pink safety vest,none,none,none,purple probe,none,black sunglasses,1037.6808054052437,76,Alien Tourism2905
Tour1292,741420209,blood orange,yellow glow,wave,blue red pearl,none,chainmail shirt,yellow safety vest,none,none,none,none,camo at,none,1035.6519751188234,77,Alien Tourism1292
Tour1103,741348006,light gray,yellow glow,wave,blue red pearl,none,none,none,aqua robe,none,none,none,gold safari hat,none,1033.3339481085934,78,Alien Tourism1103
Tour1402,741429921,blue spiral,light blue,wave,blue gloss,none,none,miami vice,none,none,none,none,camo at,none,1026.283933126668,79,Alien Tourism1402
Tour739,741283306,galaxy,white,wave,purple aqueous,none,none,none,gold suit,none,none,none,blue tando,none,1024.9031331923024,80,Alien Tourism739
Tour543,741240781,turquoise,gold spiral,camera,blue red pearlescent,corn rows,none,none,red bball jersey,none,none,none,none,none,1018.8552788296203,81,Alien Tourism543
Tour3095,741740893,purple nebulae,red,wave,yellow aqueous,none,metallic oil shirt,red puffer vest,none,none,none,none,none,none,1016.8696728543124,82,Alien Tourism3095
Tour2674,741679884,pink aurora,yellow,donut,caribbean,bob,none,none,camo robe,none,none,none,none,none,1014.2124846545017,83,Alien Tourism2674
Tour1673,741457614,purple,light blue spiral,wave,confetti,none,purple dress,none,none,none,none,none,gold safari hat,none,1012.3342534614632,84,Alien Tourism1673
Tour1370,741427309,purple nebulae,none,cash money,blue green gloss,mop,purple dress,copper puffer vest,none,none,none,none,none,blue pit glasses,1011.1309194478238,85,Alien Tourism1370
